state,state-abbr,lung_bronch_death,pm25,income
Alabama,AL,73.43333333,12.23,33.69433333
Alaska,AK,67.66666667,5.36,48.951
Arizona,AZ,53.43333333,11.2,34.07233333
Arkansas,AR,76.86666667,11.57,32.319
California,CA,48.56666667,10.3,43.78633333
Colorado,CO,46.9,13.57,40.90433333
Connecticut,CT,63.83333333,10.8,62.13633333
Delaware,DE,72.93333333,12.09,42.03966667
District of Columbia,DC,59.4,12.71,62.54666667
Florida,FL,64.73333333,11.41,38.72166667
Georgia,GA,68.5,12.25,35.22333333
Hawaii,HI,47.13333333,4.8,42.01866667
Idaho,ID,52.2,10.68,32.153
Illinois,IL,70.06666667,12.68,42.137
Indiana,IN,76.13333333,13.46,35.47366667
Iowa,IA,66.13333333,11.57,38.722
Kansas,KS,63.4,11.18,40.30833333
Kentucky,KY,98.36666667,13.1,33.27666667
Louisiana,LA,72.86666667,11.02,37.21933333
Maine,ME,74.43333333,10.73,37.805
Maryland,MD,60.66666667,12.61,50.27033333
Massachusetts,MA,67.83333333,10.86,53.23433333
Michigan,MI,69.8,11.9,35.52266667
Minnesota,MN,55.3,13.05,42.49366667
Mississippi,MS,77.1,11.82,30.70933333
Missouri,MO,76.53333333,10.41,37.09166667
Montana,MT,59.8,11.48,35.853
Nebraska,NE,58,12.94,41.536
New Hampshire,NH,69.76666667,10.84,47.486
New Jersey,NJ,60.13333333,11.45,51.823
New Mexico,NM,42.96666667,10.39,33.45366667
New York,NY,63,11.85,48.615
Nevada,NV,62.85,13.15,37.02566667
North Carolina,NC,72.2,12.25,35.88166667
North Dakota,ND,56.66666667,10.88,44.13133333
Ohio,OH,72.8,13.36,36.92633333
Oklahoma,OK,72.3,10.37,36.42866667
Oregon,OR,61.43333333,9.04,36.16266667
Pennsylvania,PA,67.7,12.86,42.23866667
Rhode Island,RI,68.9,10.67,42.675
South Carolina,SC,70.4,12.36,32.533
South Dakota,SD,58.16666667,11.86,41.74066667
Tennessee,TN,78.3,13.16,35.91333333
Texas,TX,57.63333333,9.89,38.46633333
Utah,UT,29.16666667,12.38,32.33433333
Vermont,VT,70.33333333,11.05,41.52366667
Virginia,VA,63.66666667,12.49,45.70533333
Washington,WA,62.13333333,11.14,42.74533333
West Virginia,WV,82.7,12.82,32.498
Wisconsin,WI,62.3,12.2,39.11966667
Wyoming,WY,50.13333333,12.23,46.15866667
